ID_SEGMENTO;ESTADO;LONGITUD;ORDEN;INDICE_CONDICION
1;3;283.95;4;48.66
1;1;518.56;2;64.08
1;3;104.33;4;71.58
1;2;298.88;4;21.83
2;2;368.32;3;99.40
3;3;642.41;1;19.55
4;3;24.89;3;30.86
4;3;700.09;1;12.75
5;2;986.88;1;87.49
5;4;827.79;3;75.71
6;4;334.60;2;15.78
6;2;82.16;3;60.33
7;1;248.48;4;88.81
8;1;944.59;1;68.04
8;2;372.49;1;65.40
8;2;457.03;4;3.15
9;1;609.20;1;91.20
9;2;292.45;1;32.55
9;2;59.31;4;47.27
10;1;234.81;2;98.79
11;3;216.55;2;11.99
12;2;789.66;2;40.71
13;1;644.42;1;83.79
14;4;14.16;3;21.05
15;4;48.51;2;2.38
15;2;522.43;4;18.12
15;2;741.28;3;98.51
16;1;195.70;3;93.04
16;3;556.51;3;80.38
17;1;611.68;3;95.80
18;3;982.33;2;18.20
19;2;609.41;1;25.85
20;2;522.83;1;24.57
20;3;733.25;4;92.86
21;2;498.56;3;47.61
21;2;530.48;2;1.89
22;1;357.56;1;36.93
22;3;507.72;3;78.07
23;2;880.97;2;21.69
23;2;143.50;3;56.57
24;3;881.95;2;5.43
24;2;16.42;4;51.64
25;2;660.46;3;34.29
25;2;469.78;3;20.57
25;4;120.51;1;54.09
25;2;889.60;2;62.70
26;1;560.29;3;0.61
26;3;770.39;4;79.82
26;1;667.82;3;73.78
27;3;978.00;4;67.38
28;2;625.81;2;73.53
29;3;957.05;3;26.72
30;3;906.85;4;69.67
31;1;740.41;2;64.33
32;1;335.04;2;99.83
33;3;172.76;1;4.94
34;4;548.30;2;73.86
35;4;541.41;3;87.83
36;4;387.52;2;16.73
36;2;706.49;1;89.66
37;4;381.54;1;98.71
37;1;195.45;3;27.92
38;1;168.45;2;52.68
39;4;910.70;1;42.27
40;4;154.59;2;78.49
41;4;466.40;4;20.35
41;4;673.24;3;4.22
42;3;652.64;1;53.54
42;4;955.76;4;33.82
43;2;864.92;3;7.03
43;4;610.58;4;16.09
44;3;555.85;3;46.92
44;1;688.36;4;88.21
45;1;130.18;2;70.46
45;1;143.99;3;74.31
46;2;755.30;4;40.12
47;1;795.33;2;0.47
48;1;224.44;4;93.76
49;4;536.61;1;48.47
50;1;375.62;4;34.55
50;3;346.63;2;32.99
