ID_SEGMENTO;VIA_GENERADORA;N_VIA_GEN;CRUCE_DESDE;N_CRUCE_DESDE;CRUCE_HASTA;N_CRUCE_HASTA
1;carrera;50;calle;1;calle;1200
2;carrera;50;calle;1200;calle;1400
3;carrera;50;calle;1400;calle;1600
4;carrera;50;calle;1600;calle;1800
5;carrera;50;calle;1800;calle;10
6;calle;62;carrera;79;carrera;79
7;calle;104;carrera;13;carrera;102
8;calle;25;carrera;15;carrera;100
9;calle;81;carrera;53;carrera;103
10;calle;31;carrera;46;carrera;35
11;avenida;55;calle;101;calle;17
12;circular;100;calle;60;calle;93
13;calle;82;calle;86;calle;29
14;carrera;94;calle;83;calle;33
15;carrera;59;calle;15;calle;33
16;carrera;48;carrera;88;carrera;53
17;carrera;92;carrera;52;carrera;42
18;carrera;75;carrera;27;carrera;39
19;calle;78;carrera;55;carrera;66
20;calle;83;carrera;14;carrera;39
21;calle;13;calle;46;calle;92
22;calle;88;calle;85;calle;47
23;calle;25;calle;31;calle;102
24;avenida;97;calle;55;calle;43
25;circular;56;calle;50;calle;15
26;calle;52;carrera;42;carrera;21
27;carrera;46;carrera;46;carrera;103
28;carrera;68;carrera;101;carrera;36
29;carrera;47;carrera;69;carrera;87
30;carrera;72;carrera;26;carrera;55
31;carrera;14;calle;88;calle;98
32;calle;20;calle;73;calle;38
33;calle;21;calle;38;calle;16
34;calle;83;calle;53;calle;67
35;calle;95;calle;22;calle;99
36;calle;99;carrera;23;carrera;94
37;avenida;82;carrera;55;carrera;19
38;circular;23;carrera;59;carrera;80
39;calle;81;carrera;89;carrera;61
40;carrera;96;carrera;100;carrera;65
41;carrera;28;calle;100;calle;104
42;carrera;47;calle;43;calle;83
43;carrera;73;calle;51;calle;74
44;carrera;71;calle;33;calle;71
45;calle;89;calle;18;calle;50
46;calle;62;carrera;100;carrera;48
47;calle;18;carrera;37;carrera;98
48;calle;25;carrera;57;carrera;49
49;calle;88;carrera;51;carrera;11
50;avenida;97;carrera;63;carrera;97
