ID;LONGITUD;TIPO_VIA;ESTRATO
1;200.00;Autopista;3
2;200.00;Autopista;4
3;211.34;Autopista;4
4;214.83;Autopista;4
5;158.25;Autopista;4
6;216.39;Calle;5
7;74.08;Calle;4
8;58.80;Calle;5
9;216.85;Calle;2
10;197.40;Calle;2
11;99.38;Carrera;5
12;140.06;Carrera;5
13;2.81;Carrera;6
14;235.84;Avenida;3
15;17.60;Calle;4
16;177.61;Carrera;5
17;161.54;Carrera;4
18;141.72;Diagonal;6
19;10.00;Carrera;4
20;78.15;Calle;4
21;30.27;Autopista;6
22;239.22;Autopista;4
23;225.85;Autopista;4
24;67.39;Autopista;5
25;44.10;Autopista;4
26;162.63;Calle;5
27;148.62;Calle;4
28;206.57;Calle;3
29;6.37;Calle;5
30;103.76;Calle;5
31;136.84;Carrera;6
32;220.70;Carrera;6
33;35.93;Carrera;3
34;26.24;Avenida;4
35;89.14;Calle;6
36;162.43;Carrera;2
37;128.94;Carrera;2
38;31.89;Diagonal;4
39;232.92;Carrera;6
40;236.76;Calle;4
41;20.17;Autopista;6
42;158.42;Autopista;6
43;24.43;Autopista;4
44;160.36;Autopista;4
45;172.62;Autopista;3
46;25.81;Calle;5
47;89.68;Calle;5
48;192.70;Calle;3
49;219.67;Calle;5
50;136.82;Calle;4
