ID_SEGMENTO;FUNCIONALIDAD;SUPERFICIE;MDR;OPI;IRI
1;4;2;50.55;82.88;79.60
1;1;4;23.00;98.91;39.64
1;2;1;7.41;65.10;70.82
1;3;6;95.33;1.05;71.38
2;2;4;61.34;39.81;47.03
3;2;4;89.82;4.94;45.86
4;2;3;27.02;38.43;15.14
4;4;3;41.47;67.59;82.58
5;3;1;36.32;57.50;60.58
5;5;2;14.92;47.70;37.01
6;4;1;64.53;74.76;43.96
6;5;5;84.44;54.61;68.59
7;1;5;22.13;38.70;44.06
8;1;4;87.12;41.28;8.42
8;4;4;21.61;73.48;3.30
8;1;1;75.36;0.09;9.47
9;4;1;0.78;66.35;31.14
9;1;2;20.96;74.22;94.30
9;5;4;71.32;20.67;30.91
10;2;1;6.98;78.46;34.39
11;5;3;74.89;11.18;76.92
12;5;4;39.49;58.93;9.60
13;3;2;20.47;81.87;39.86
14;4;4;64.62;68.37;1.12
15;2;5;63.53;62.78;88.44
15;2;1;15.90;20.68;61.70
15;4;5;41.23;58.31;37.71
16;3;5;75.36;95.04;35.96
16;4;3;51.23;97.81;17.22
17;5;1;87.24;89.18;98.41
18;3;2;61.30;2.51;46.68
19;4;4;70.77;91.94;18.45
20;3;3;45.02;69.22;63.62
20;4;1;99.89;69.06;0.93
21;5;5;6.65;0.53;2.37
21;2;6;60.67;20.72;92.44
22;2;1;87.37;56.45;61.67
22;3;3;16.54;80.83;37.04
23;1;3;1.40;77.27;74.98
23;4;5;2.58;21.26;55.29
24;5;2;49.29;45.18;96.45
24;4;5;71.98;62.50;16.42
25;5;3;86.17;6.17;56.37
25;2;3;31.89;2.13;35.71
25;1;2;59.25;67.94;59.23
25;5;1;65.68;5.30;61.58
26;1;5;83.35;16.87;12.24
26;4;3;16.31;61.22;82.29
26;3;3;3.70;75.81;95.95
27;1;1;64.45;61.90;37.20
28;1;6;71.87;18.07;73.91
29;3;6;53.49;49.23;99.46
30;1;2;28.39;53.66;64.03
31;2;2;24.32;38.21;99.15
32;3;2;66.65;87.83;76.85
33;4;6;11.72;53.43;94.28
34;5;2;7.62;51.49;13.09
35;1;6;11.03;89.74;38.48
36;2;2;75.43;50.68;71.30
36;1;2;83.57;74.39;62.00
37;5;1;15.58;50.72;39.92
37;4;4;86.41;57.36;16.44
38;2;2;86.08;3.15;49.33
39;4;6;17.64;62.05;16.39
40;3;5;66.02;52.38;19.33
41;2;1;28.41;22.60;84.07
41;1;6;32.00;75.93;69.43
42;1;4;72.15;1.66;75.08
42;2;1;97.84;51.69;8.53
43;3;1;75.90;49.22;10.64
43;3;5;84.58;52.56;48.08
44;1;3;42.25;18.93;68.79
44;1;1;23.90;14.81;60.46
45;2;5;24.03;66.05;57.12
45;1;5;25.69;51.58;79.87
46;5;6;32.16;11.58;77.17
47;2;4;36.97;7.05;63.45
48;3;4;43.36;29.72;33.62
49;2;3;63.30;17.91;11.46
50;5;1;98.71;57.72;28.87
